TweetID,CreationTime,DeltaTime,Followed,Followers,Geotagged,TotalTweets,TwitterAge,Username,Verified,nHashtags,nMentions,nURLs
382813388503412736,Wed Sep 25 10:26:38 +0000 2013,0:00:00,524,498,True,4071,1990,Waqas Younas,False,3,2,0
382813391435206659,Wed Sep 25 10:26:39 +0000 2013,0:00:01,498,2530,True,18843,3029,Vajeesh Partab,False,2,2,0
382813401845485568,Wed Sep 25 10:26:41 +0000 2013,0:00:03,236,220,True,20800,1968,LISA EDENS,False,2,1,1
382813437513834497,Wed Sep 25 10:26:50 +0000 2013,0:00:12,4200,7627,True,179666,2162,"Hayat Alvi, PhD",False,2,3,1
382813444011204608,Wed Sep 25 10:26:52 +0000 2013,0:00:14,273,117,True,6615,2490,Faisal Mustafa,False,1,1,1
382813445495586816,Wed Sep 25 10:26:52 +0000 2013,0:00:14,332,520,True,20861,1781,Darwesh,False,2,1,0
382813466014121984,Wed Sep 25 10:26:57 +0000 2013,0:00:19,395,11883,True,24992,2675,Nafees Takar,False,2,2,0
382813467528282112,Wed Sep 25 10:26:57 +0000 2013,0:00:19,2105,1030,True,6635,3285,Virginia McMillan,False,2,1,1
382813501489946624,Wed Sep 25 10:27:05 +0000 2013,0:00:27,144,59,True,1271,1721,fouzia iftikhar,False,3,1,0
382813514881982464,Wed Sep 25 10:27:08 +0000 2013,0:00:30,37,1900,True,42940,1692,maria khan,False,2,0,1
382813518602313729,Wed Sep 25 10:27:09 +0000 2013,0:00:31,957,12256,True,57984,2945,Die-Hard Pakistani,False,3,1,0
382813530396700672,Wed Sep 25 10:27:12 +0000 2013,0:00:34,1386,1733,True,13073,3603,Joel Bassuk,False,1,2,0
382813532305096705,Wed Sep 25 10:27:13 +0000 2013,0:00:35,358,20854,True,26222,2989,farah lodhi khan,False,1,1,0
382813540366954497,Wed Sep 25 10:27:15 +0000 2013,0:00:37,10,20,True,35617,2201,Shakemaps M1 - M2,False,1,0,1
382813540413095936,Wed Sep 25 10:27:15 +0000 2013,0:00:37,10,20,True,35617,2201,Shakemaps M1 - M2,False,1,0,1
382813561875361792,Wed Sep 25 10:27:20 +0000 2013,0:00:42,4552,1159,True,21077,3096,John B. A. Kawecki,False,1,2,0
382813587410259968,Wed Sep 25 10:27:26 +0000 2013,0:00:48,983,28635,True,298846,2946,.,False,1,1,0
