TweetID,City,Country,Location,StateProvince,Text
'503642976422096896',['knoxville'],['usa'],['northern'],"['california', 'tennessee']",RT @nicoleewayne: Tennessee USA Knoxville http://t.co/RdBC6022xO earthquake BREAKING NEWS 816 earthquake Northern California braces for afâ€¦
'503642976976113664',[],[],[],[],RT @SFGate: We're updating this interactive map of reported damage from the Napaquake. Check it out: http://t.co/24Db832o4U http://t.co/qyâ€¦
'503642977588494337',"['francisco', 'san', 'bay']",[],['area'],[],"RT @YourAnonNews: Strong 6.1 Earthquake Rocks San Francisco Bay Area, Injures 87+, Significant Damage In Napa  http://t.co/ibSTSBU9BJ"
'503642979429388288',['bay'],['usa'],['area'],['wisconsin'],RT @heyyouapp: Wisconsin USA Madison http://t.co/4LByErEec9 BREAKING NEWS 421 earthquake 6.0 earthquake jolts Bay Area damage and at least â€¦
'503642980881022976',[],[],[],[],"RT @scullather: ""@infodude: amazing use of BigData from @Jawbone - How the Napa Earthquake Affected Bay Area Sleepers https://t.co/SSlD8wQâ€¦"
'503642982189252608',['napa'],[],[],['california'],"RT @MarshGlobal: Napa, California earthquake was region's most severe since 1989. Get tips on how affected should respond http://t.co/X4G6â€¦"
'503642983666032640',[],[],[],['california'],USAHeadlines Cleanup Efforts Underway after Major Earthquake in California http://t.co/TscSQQ2byw
'503642984429395968',[],[],[],[],Jawbone Looks At UP Data To See How Many Were Woken Up By The Napa Earthquake: Jawbone has shown one of the mo... http://t.co/uPPDpHSkbF
'503642985167609856',"['francisco', 'san']",[],['napaâ'],['calif.'],The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPAÂ Calif. (Reuters) - A 6.0 magnitude... http://t.co/GfBaXVvn8v
'503642985431830528',[],[],[],['california'],RT @SBSNews: State of emergency after 6.0 earthquake hits California wine country http://t.co/NxqywGfnQr http://t.co/tBh3OGFrR6
'503642988522647552',[],[],[],['california'],RT @JSimrock: Thinking of all those dealing with the aftermath of the earthquake in California.
'503642992541171712',[],[],[],['california'],RT @RT_com: Economic losses from California earthquake could top $1 billion http://t.co/yAtwKZgCBA
'503642993677443072',[],[],[],['california'],RT @dbfish: The single most California photo of all time. napaquake http://t.co/1KIMJzNprs
'503642995879849985',[],['usa'],[],['california'],RT @heyyouapp: USA Â» NEWS Â» http://t.co/TPSViMWZMs HOT NEWS 425 Earthquake Northern California Struck by 6.0 Magnitude Earthquake Earthquaâ€¦
'503642996584513536',[],['israel'],[],['california'],Did God Send Earthquake Because California Ship Workers DenyÂ Israel http://t.co/4md1LfhE7z
'503642998664884225',['napa'],[],[],[],Jawbone knows how many of its users were roused by the Napa earthquake http://t.co/emzOlYAfMY
'503642998832242689',"['francisco', 'san']",[],[],[],RT @BurnTom: The extent of my parents helping me move to San Francisco has been them looking up Earthquake videos and warning me.
'503643000913006593',[],[],[],['california'],Boy Hurt in California Quake: 'I Should Be Dead': Boy badly hurt by bricks in California quake says lucky to b... http://t.co/PJIuASP2ps
'503643001185636352',[],[],[],['california'],RT @Reuters: California wine country quake losses seen in the billions http://t.co/3ua2b5CFrY
'503643001722118144',[],[],[],[],RT @Cal_OES: Napa Earthquake Victims Urged to Only Hire Licensed Contractors for Repairs | Cal OES Newsroom. http://t.co/mnrUAtrWnz
'503643002875969536',[],[],[],['california'],Losses From California Quake Could Top $1 Billion - New York Times http://t.co/0jLTWnAVYb
'503643003508883458',[],[],[],[],Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http://t.co/buyrmiykwI
'503643004759195650',['napa'],[],[],[],Over 120 Injured in Napa Quake   via @BreitbartNews http://t.co/vc64NHsk76
'503643009817128960',[],[],['caâ'],[],"RT @News24lHOT: â€¢ http://t.co/m3SdpIVsLR â€¢ earthquake 340  earthquake â€¢ Dozens injured, 3 critically, after strong earthquake in Caâ€¦ http:â€¦"
'503643010127499264',"['valley', 'napa']",[],[],['california'],"RT @jbooton: Rest easy oenophiles, Napa Valley quake wonâ€™t spike price of California wine: http://t.co/LXMujQVznb"
'503643011990183936',[],[],[],['california'],&gt;&gt;&gt;&gt;&gt; http://t.co/4kriuxWWsb California begins quake clear-up http://t.co/mk3VkNpOkV &gt;&gt;&gt;&gt;&gt; http://t.co/4kriuxWWsb
'503643013852463104',['napa'],[],[],[],NewsUpdates Insured losses from Napa earthquake could reach $500m to $1 billion http://t.co/YE3QNN5O3H
