TweetID,City,Country,Location,StateProvince,Text
'382813388503412736',[],[],[],['alaska'],"USGS reports a M1.7 earthquake 70km ESE of Healy, Alaska on 9/28/13 @ 2:45:15 UTC http://t.co/MQkCfKZisl quake"
'382813391435206659',[],[],['southern'],['alaska'],"QuakeFactor M 3.0, Southern Alaska: Sunday, September 29, 2013 21:15:20 UTCSunday, Septemb... http://t.co/edtau43Co2 earthquake, quake"
'382813401845485568',[],['pakistan'],[],[],What you wanna say abt TTP PeaceTalks &amp; Pakistan ??? Call now &amp; LetsTalk to RJ @ubaid_imran Live Now Insaf... http://t.co/tUAIo0krST
'382813437513834497',[],['pakistan'],[],[],Top Story: Pakistan quake survivors face long wait for aid: Awaran (Pakistan)- Tens of thousan... http://t.co/Cd6SYLXs5f pakistan news
'382813440655376384',[],[],['balochistan'],[],"RT @SaimaMohsin: 264 dead, more than 400 injured in 7.7 magnitude quake very close to surface - Awaran Balochistan worst affected"
'382813444011204608',"['san', 'bautista', 'juan']",[],"['of', 'sse']",['california'],"USGS reports a M1.2 earthquake 6km SSE of San Juan Bautista, California on 9/27/13 @ 21:36:47 UTC http://t.co/ZBpGpA5kNE quake"
'382813445495586816',['gwadar'],[],[],[],"RT @ErumManzoor: Island that emerged near Gwadar earthquake is temporary, say experts. Hmmm.  How about setting up a TTP office there? viaâ€¦"
'382813466014121984',[],['pakistan'],[],[],@AQpk 1300+ People have been killed due to terrorism in last 15 weeks. http://t.co/vwUGXigs6p  OverthrowCorruptSystem Pakistan
'382813467528282112',"['quetta', 'karachi']",['pakistan'],[],[],"Quetta quake toll 328, more deaths feared http://t.co/RQYwYjUnxh Karachi Pakistan"
'382813501489946624',['peshawar'],['pakistan'],[],[],"RT @RT_com: Update: Death toll in Peshawar bomb blast rises to 38, about 100 injured - hospital officials http://t.co/N4phtjDGk8 Pakistan"
'382813501729017856',[],[],['northern'],['california'],"Earthquake M 2.1, Northern California http://t.co/90COqYKVRf"
'382813514881982464',[],['ch'],['balochistâ'],[],RT @CNBCPAKISTAN: Ch. Nisar: Rockets were fired at a rescue and relief helicopter when it tried to access earthquake victims in Balochistâ€¦
'382813518602313729',[],['pakistan'],[],[],Azerbaijani Ministry of Emergency Situations offered to Pakistan to hold rescue operations in the quake-hit regions http://t.co/rlrOxB65s6
'382813530396700672',[],['pakistan'],[],[],RT @RT_com: PHOTO: NASA releases image of Pakistan's 'Earthquake Island' http://t.co/aBHdfEFZEl http://t.co/iwEFUiequ1
'382813532305096705',[],[],['northern'],['california'],"earthquake: M 1.0, Northern California http://t.co/6RRJuGEgb7"
'382813540366954497',[],['peru'],[],[],"RT @VincentTongue: Peru  earthquake M6.8M, Depth:33km   25 Sep 2013 16:42UTC   About 14191 people within 100km http://t.co/cC0ICGysLX"
'382813540413095936',[],['pakistan'],[],[],"RT @FoxNews: Pakistan militants fire on quake relief helicopter, as death toll rises to 348: http://t.co/avePx9rEAU"
'382813561875361792',[],[],[],[],RT @Fahdhusain: 11 kids recovered alive from under earthquake rubble in Awaran. Shukar Allah!! earthquake
'382813565054226432',['karachi'],['pakistan'],"['altaf', 'mqm', 'hussain', 'quaid']",[],RT @allaboutmqm: News: MQM Quaid Altaf Hussain Voices Concern Over Murderous Attempt On Prof Nabiâ€™s Life Karachi Pakistan http://t.co/28â€¦
'382813569597071360',[],['pakistan'],[],[],RT @AWAIS_NIAZI1: KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing ANP flag wth Pakistan on clg building. Saramnaak http:â€¦
'382813587410259968',[],[],['balochistan'],[],"Awaran mn 312 dead,, Keich mn 44 dead..:( Balochistan earthquake"
'382813601024995328',[],['pakistan'],['balochistan'],[],RT @allaboutmqm: News: This is the time of the need we must help the affected people of Balochistan: @MQMUSA MQM Pakistan http://t.co/HQâ€¦
'382813620356534272',[],[],[],[],RT @Chiltan: she is waiting for your help Awaran girl child BalochistanEarthquake  http://t.co/jlzN8iMrOx
'382813652752928768',[],[],['balochistan'],[],RT @DrAwab: 250+ people have been killed in Balochistan didn't we have a Chief Minister there? Missing? Abducted? Or has he gone island hoâ€¦
'382813700375474176',[],['pakistan'],[],[],Just Shocking News Earthquake in Pakistan st... http://t.co/SiDBPiGwbT
'382813702132867072',[],['pakistan'],['island'],[],"NASA Releases Images of Earthquake Island off Coast of Pakistan,  Zalzala Jazeera: http://t.co/hKoJPHA9Xc  EarthChanges"
'382813719941484544',[],[],[],['hawaii'],"earthquake: M 1.9, Island of Hawaii, Hawaii http://t.co/MwWyOEaHvx"
'382813733623300096',[],[],[],[],Khanchey bazi start on account of earthquake victims  http://t.co/MgTkaQrq5l
'382813742683398144',[],[],['balochistan'],[],"1000+ died and countless injured,many homeless and living without any relief service after earthquake in Balochistan http://t.co/E7sxwXwUJU"
'382813761330888704',['gwadar'],"['pakistan', 'india']",['balochistan'],[],Small island after earthquake in Pakistan http://t.co/ueRxtmpdZ4 Pakistan Gwadar Balochistan Earthquake India via @Ma_knows_all00
'382813775604105216',[],['pakistan'],['balochistan'],[],Death toll in Balochistan earthquake mounts to 328 with 285 killed in Awaran alone ~@PTVNewsOfficial Pakistan
