TweetID,CreationTime,DeltaTime,Followed,Followers,Geotagged,Label,TotalTweets,TwitterAge,Username,Verified,nHashtags,nMentions,nURLs
382813388503412736,Wed Sep 25 10:26:38 +0000 2013,0:00:00,524,498,True,other_useful_information,4071,1990,Waqas Younas,False,3,2,0
382813391435206659,Wed Sep 25 10:26:39 +0000 2013,0:00:01,498,2529,True,not_related_or_irrelevant,18843,3029,Vajeesh Partab,False,2,2,0
382813401845485568,Wed Sep 25 10:26:41 +0000 2013,0:00:03,236,220,True,not_related_or_irrelevant,20800,1968,LISA EDENS,False,2,1,1
382813437513834497,Wed Sep 25 10:26:50 +0000 2013,0:00:12,4200,7628,True,donation_needs_or_offers_or_volunteering_services,179666,2162,"Hayat Alvi, PhD",False,2,3,1
382813444011204608,Wed Sep 25 10:26:52 +0000 2013,0:00:14,273,117,True,other_useful_information,6615,2490,Faisal Mustafa,False,1,1,1
382813445495586816,Wed Sep 25 10:26:52 +0000 2013,0:00:14,332,520,True,other_useful_information,20861,1781,Darwesh,False,2,1,0
382813466014121984,Wed Sep 25 10:26:57 +0000 2013,0:00:19,395,11884,True,not_related_or_irrelevant,24992,2675,Nafees Takar,False,2,2,0
382813467528282112,Wed Sep 25 10:26:57 +0000 2013,0:00:19,2105,1030,True,injured_or_dead_people,6635,3285,Virginia McMillan,False,2,1,1
382813501489946624,Wed Sep 25 10:27:05 +0000 2013,0:00:27,144,59,True,injured_or_dead_people,1278,1721,fouzia iftikhar,False,3,1,0
382813514881982464,Wed Sep 25 10:27:08 +0000 2013,0:00:30,37,1900,True,not_related_or_irrelevant,42890,1692,maria khan,False,2,0,1
382813518602313729,Wed Sep 25 10:27:09 +0000 2013,0:00:31,957,12256,True,donation_needs_or_offers_or_volunteering_services,57992,2945,Die-Hard Pakistani,False,3,1,0
382813530396700672,Wed Sep 25 10:27:12 +0000 2013,0:00:34,1386,1733,True,other_useful_information,13073,3603,Joel Bassuk,False,1,2,0
382813532305096705,Wed Sep 25 10:27:13 +0000 2013,0:00:35,358,20855,True,other_useful_information,26222,2989,farah lodhi khan,False,1,1,0
382813540366954497,Wed Sep 25 10:27:15 +0000 2013,0:00:37,10,20,True,other_useful_information,35617,2201,Shakemaps M1 - M2,False,1,0,1
382813540413095936,Wed Sep 25 10:27:15 +0000 2013,0:00:37,10,20,True,injured_or_dead_people,35617,2201,Shakemaps M1 - M2,False,1,0,1
382813561875361792,Wed Sep 25 10:27:20 +0000 2013,0:00:42,4552,1159,True,missing_trapped_or_found_people,21077,3096,John B. A. Kawecki,False,1,2,0
382813587410259968,Wed Sep 25 10:27:26 +0000 2013,0:00:48,983,28634,True,injured_or_dead_people,298846,2946,.,False,1,1,0
382813601024995328,Wed Sep 25 10:27:29 +0000 2013,0:00:51,780,5300,True,donation_needs_or_offers_or_volunteering_services,20923,2935,Furqan T. Siddiqui,False,4,1,0
382813620356534272,Wed Sep 25 10:27:34 +0000 2013,0:00:56,983,28634,True,donation_needs_or_offers_or_volunteering_services,298846,2946,.,False,3,2,0
382813652752928768,Wed Sep 25 10:27:41 +0000 2013,0:01:03,379,423,True,injured_or_dead_people,57405,3225,grs,False,2,1,0
382813700375474176,Wed Sep 25 10:27:53 +0000 2013,0:01:15,682,742,True,other_useful_information,12344,3005,Adnan Kazmy,False,1,0,0
382813702132867072,Wed Sep 25 10:27:53 +0000 2013,0:01:15,2155,1471,True,other_useful_information,94808,2980,Mr. A Kundi,False,3,2,1
382813719941484544,Wed Sep 25 10:27:57 +0000 2013,0:01:19,141,51,True,caution_and_advice,5472,2386,MS,False,2,1,0
382813733623300096,Wed Sep 25 10:28:01 +0000 2013,0:01:23,1246,432,True,other_useful_information,9989,3167,Homosapien,False,1,0,1
382813761330888704,Wed Sep 25 10:28:07 +0000 2013,0:01:29,802,638,True,other_useful_information,2867,1762,Yasir Hussain,False,3,0,1
382813788832940033,Wed Sep 25 10:28:14 +0000 2013,0:01:36,1940,5340,True,injured_or_dead_people,37290,3134,New Zealand Doctor,False,2,1,1
382813812040409089,Wed Sep 25 10:28:19 +0000 2013,0:01:41,63,198,True,other_useful_information,6101,3339,Tamoor Zafar,False,4,0,1
382813829719019521,Wed Sep 25 10:28:24 +0000 2013,0:01:46,234,4035,True,caution_and_advice,21524,2712,S M Tabish Tariq,False,1,0,1
382813848006180864,Wed Sep 25 10:28:28 +0000 2013,0:01:50,241,142,True,other_useful_information,5048,3207,Feel Good Inc,False,1,1,0
382813873679896576,Wed Sep 25 10:28:34 +0000 2013,0:01:56,231,522,True,infrastructure_and_utilities_damage,4251,1729,Bahawal Tariq,False,2,0,0
382813924208308224,Wed Sep 25 10:28:46 +0000 2013,0:02:08,1099,4131,True,other_useful_information,4978,2910,Wishberry.in,False,5,0,0
382813932437917696,Wed Sep 25 10:28:48 +0000 2013,0:02:10,82,23095,True,donation_needs_or_offers_or_volunteering_services,7920,2157,Qasim Ali,False,4,0,0
382813945913831424,Wed Sep 25 10:28:51 +0000 2013,0:02:13,1522,3965,True,caution_and_advice,30431,2289,Adeel Ahmed,False,2,2,0
382813996354510848,Wed Sep 25 10:29:03 +0000 2013,0:02:25,271,175,True,other_useful_information,14589,3179,H.,False,1,1,0
382814017099558912,Wed Sep 25 10:29:08 +0000 2013,0:02:30,700,404,True,other_useful_information,4110,3257,Louw,False,2,1,1
382814060326043648,Wed Sep 25 10:29:18 +0000 2013,0:02:40,29,131,True,donation_needs_or_offers_or_volunteering_services,98,1788,Pak Curricula Reform,False,1,1,0
382814060385161216,Wed Sep 25 10:29:19 +0000 2013,0:02:41,402,239,True,caution_and_advice,7528,1958,Farhan Khan,False,1,1,0
382814062196703232,Wed Sep 25 10:29:19 +0000 2013,0:02:41,721,867383,True,not_related_or_irrelevant,47486,2469,Umar Cheema,True,1,0,1
382814062704226304,Wed Sep 25 10:29:19 +0000 2013,0:02:41,379,423,True,injured_or_dead_people,57405,3225,grs,False,4,1,0
382814074104328192,Wed Sep 25 10:29:22 +0000 2013,0:02:44,474,1759,True,other_useful_information,24642,2545,Sarah Williams,False,1,1,1
382814074439868419,Wed Sep 25 10:29:22 +0000 2013,0:02:44,2128,7275,True,sympathy_and_emotional_support,181200,1946,Hani Qureshi,False,4,1,0
382814086519869441,Wed Sep 25 10:29:25 +0000 2013,0:02:47,341,346,True,not_related_or_irrelevant,2988,2209,Ziad Khan,False,5,1,0
382814114860367872,Wed Sep 25 10:29:31 +0000 2013,0:02:53,2,896,True,injured_or_dead_people,3284,1968,Earthquake Report M6,False,6,0,1
382814115276025856,Wed Sep 25 10:29:32 +0000 2013,0:02:54,535,576,True,not_related_or_irrelevant,7752,2895,Shaheen Baloch,False,1,2,0
382814118056431616,Wed Sep 25 10:29:32 +0000 2013,0:02:54,1,740,True,not_related_or_irrelevant,22150,1968,Earthquake Report M5,False,6,0,1
382814125899784192,Wed Sep 25 10:29:34 +0000 2013,0:02:56,67,87,True,other_useful_information,5968,1997,7 Continents News,False,6,0,1
382814134032531456,Wed Sep 25 10:29:36 +0000 2013,0:02:58,6357,8442,True,displaced_people_and_evacuations,132483,2024,Armand Vervaeck 🎗️,False,6,0,1
382814138235236352,Wed Sep 25 10:29:37 +0000 2013,0:02:59,0,75,True,other_useful_information,2190,2205,Earthquake Report,False,6,0,1
382814139623931904,Wed Sep 25 10:29:37 +0000 2013,0:02:59,106,2342,True,other_useful_information,111280,1923,Kulbar Baloch Rind⛓,False,1,2,1
382814141620043776,Wed Sep 25 10:29:38 +0000 2013,0:03:00,7,1356,True,other_useful_information,4385,2649,SOS Earthquakes,False,6,0,1
382814144824479746,Wed Sep 25 10:29:39 +0000 2013,0:03:01,4,1859,True,other_useful_information,19239,2720,SOS Earthquakes,False,6,0,1
382814146620059648,Wed Sep 25 10:29:39 +0000 2013,0:03:01,490,29,True,not_related_or_irrelevant,617,1790,Zubair,False,1,1,0
382814148851023872,Wed Sep 25 10:29:40 +0000 2013,0:03:02,0,2756,True,sympathy_and_emotional_support,48537,2934,SOS Earthquakes,False,6,0,1
382814152969838592,Wed Sep 25 10:29:41 +0000 2013,0:03:03,3,17074,True,other_useful_information,66363,2965,Earthquake Report,False,6,0,1
